Product Id,Sector,Cog,Distance,Export,Pci
776,Vegetables_foodstuff_and_wood,-0.1588,0.8106,1856129915,-1.5925
775,Vegetables_foodstuff_and_wood,0.2139,0.8692,50637466,0.1197
774,Vegetables_foodstuff_and_wood,0.0813,0.8433,1120140156,-0.4822
773,Vegetables_foodstuff_and_wood,0.3251,0.8623,432387400,0.7722
772,Vegetables_foodstuff_and_wood,-0.3149,0.7629,799190652,-1.8887
770,Vegetables_foodstuff_and_wood,-0.0066,0.9314,258368,-0.2087
769,Vegetables_foodstuff_and_wood,-0.1855,0.8378,210248208,-1.3033
767,Vegetables_foodstuff_and_wood,-0.2772,0.7809,740352408,-2.0508
766,Vegetables_foodstuff_and_wood,0.0337,0.8703,2404220178,-0.4506
765,Vegetables_foodstuff_and_wood,-0.043,0.8352,254599546,-0.2988
764,Vegetables_foodstuff_and_wood,-0.2849,0.7803,1751708928,-1.69
761,Vegetables_foodstuff_and_wood,-0.1367,0.7845,7389219910,-1.3928
758,Vegetables_foodstuff_and_wood,-0.0179,0.8388,3482060180,-0.391
757,Vegetables_foodstuff_and_wood,0.0659,0.8417,9098705764,-0.0369
756,Vegetables_foodstuff_and_wood,-0.012,0.8507,908431250,-0.3711
755,Vegetables_foodstuff_and_wood,-0.1927,0.8515,118862711,-2.0454
753,Vegetables_foodstuff_and_wood,-0.06,0.8244,51102828017,-1.3173
752,Vegetables_foodstuff_and_wood,0.2326,0.8634,1454867245,0.2108
751,Vegetables_foodstuff_and_wood,0.0171,0.8332,3550579859,-0.3718
750,Vegetables_foodstuff_and_wood,0.0848,0.842,3455171225,-0.1079
748,Vegetables_foodstuff_and_wood,0.2194,0.8582,614751675,0.0357
746,Vegetables_foodstuff_and_wood,-0.1441,0.7994,1112206328,-0.8317
738,Vegetables_foodstuff_and_wood,0.1005,0.8491,5928917356,0.2585
737,Vegetables_foodstuff_and_wood,0.2892,0.8624,184550459,0.8065
736,Vegetables_foodstuff_and_wood,-0.0068,0.8279,37584600556,-0.1634
734,Vegetables_foodstuff_and_wood,-0.2852,0.8115,818356704,-1.2426
733,Vegetables_foodstuff_and_wood,-0.2464,0.8145,604006045,-1.7109
732,Vegetables_foodstuff_and_wood,-0.1451,0.8408,489228076,-1.6714
728,Vegetables_foodstuff_and_wood,-0.1279,0.798,171096981,-1.8589
725,Vegetables_foodstuff_and_wood,-0.2436,0.7992,103998856,-1.6519
724,Vegetables_foodstuff_and_wood,-0.1247,0.8237,2300895759,-0.7649
723,Vegetables_foodstuff_and_wood,-0.1131,0.8464,206902357,-1.0784
722,Vegetables_foodstuff_and_wood,-0.1269,0.8039,4329815430,-0.5226
721,Vegetables_foodstuff_and_wood,-0.2565,0.7824,13781639139,-1.7208
719,Vegetables_foodstuff_and_wood,-0.0615,0.8282,9753021234,-0.8024
718,Vegetables_foodstuff_and_wood,-0.2322,0.7984,3533913971,-1.5077
717,Vegetables_foodstuff_and_wood,-0.203,0.8202,9513078074,-1.2139
716,Vegetables_foodstuff_and_wood,-0.2477,0.8013,13612709537,-1.2587
713,Vegetables_foodstuff_and_wood,-0.2901,0.7962,16365624658,-1.7482
712,Vegetables_foodstuff_and_wood,-0.3263,0.7766,8385361087,-2.4819
709,Vegetables_foodstuff_and_wood,-0.2529,0.8167,3976406073,-1.4241
708,Vegetables_foodstuff_and_wood,-0.2882,0.8074,636295723,-1.2109
704,Vegetables_foodstuff_and_wood,-0.136,0.8311,2418813454,-0.9036
703,Vegetables_foodstuff_and_wood,-0.0953,0.8073,1788004384,-0.6944
702,Vegetables_foodstuff_and_wood,0.0278,0.8421,2482626823,-0.6415
701,Vegetables_foodstuff_and_wood,-0.1249,0.8181,2888604304,-1.3258
700,Vegetables_foodstuff_and_wood,-0.2622,0.7913,6858280404,-1.7557
697,Vegetables_foodstuff_and_wood,-0.1177,0.8076,1171671460,-0.7501
694,Vegetables_foodstuff_and_wood,0.0293,0.8513,1644400268,-0.4577
691,Vegetables_foodstuff_and_wood,-0.0066,0.9314,301801,-0.2087
690,Vegetables_foodstuff_and_wood,-0.1773,0.8122,166486851,-1.3144
687,Vegetables_foodstuff_and_wood,0.1791,0.8823,1195445111,0.4722
686,Vegetables_foodstuff_and_wood,-0.1209,0.8157,3791896667,-0.9246
685,Vegetables_foodstuff_and_wood,0.1124,0.9205,308373,2.7801
684,Vegetables_foodstuff_and_wood,0.1358,0.9053,163894627,0.0218
682,Vegetables_foodstuff_and_wood,-0.0829,0.8536,542642816,-0.7713
681,Vegetables_foodstuff_and_wood,-0.2213,0.7881,2004581294,-1.0203
678,Vegetables_foodstuff_and_wood,0.0415,0.8177,25735319369,-0.0893
676,Vegetables_foodstuff_and_wood,0.1664,0.8362,3719906504,0.3784
675,Vegetables_foodstuff_and_wood,0.0363,0.8161,3913114267,0.1779
672,Vegetables_foodstuff_and_wood,-0.2844,0.7886,12760960454,-1.6919
671,Vegetables_foodstuff_and_wood,-0.323,0.7716,25141881537,-1.9115
666,Vegetables_foodstuff_and_wood,-0.1175,0.8236,1840086482,-0.768
665,Vegetables_foodstuff_and_wood,0.2418,0.871,4384060978,0.5835
664,Vegetables_foodstuff_and_wood,0.1718,0.8501,595779380,0.2979
663,Vegetables_foodstuff_and_wood,0.0931,0.8439,819953568,0.0224
662,Vegetables_foodstuff_and_wood,0.0416,0.8385,23432087469,-0.0161
661,Vegetables_foodstuff_and_wood,0.0351,0.8367,7705838995,-0.5482
660,Vegetables_foodstuff_and_wood,-0.0174,0.8424,375397731,-0.4744
659,Vegetables_foodstuff_and_wood,-0.1313,0.8166,5468695603,-1.089
658,Vegetables_foodstuff_and_wood,0.2802,0.8689,26835285827,0.7539
