id,sector,x,y
1348,Textiles_and_furniture,2579,2319
1347,Textiles_and_furniture,2713,2464
1346,Textiles_and_furniture,1330,2535
1345,Textiles_and_furniture,2623,2305
1344,Textiles_and_furniture,2654,2479
1342,Textiles_and_furniture,2568,2396
1341,Textiles_and_furniture,2681,2440
1340,Textiles_and_furniture,2688,2342
1339,Textiles_and_furniture,2638,2405
1338,Textiles_and_furniture,2595,2421
1337,Textiles_and_furniture,2535,2457
1336,Textiles_and_furniture,2583,2490
1335,Textiles_and_furniture,2705,2440
1334,Textiles_and_furniture,2632,2449
1333,Textiles_and_furniture,2614,2386
1332,Textiles_and_furniture,2544,2478
1331,Textiles_and_furniture,2662,2416
1330,Textiles_and_furniture,2750,2515
1329,Textiles_and_furniture,2785,2535
1328,Textiles_and_furniture,1965,2271
1323,Textiles_and_furniture,1742,2078
1320,Textiles_and_furniture,1726,2168
1319,Textiles_and_furniture,2158,2160
1316,Textiles_and_furniture,2611,2718
1313,Textiles_and_furniture,2722,2551
1312,Textiles_and_furniture,2744,2479
1310,Textiles_and_furniture,2647,2566
1307,Textiles_and_furniture,2707,2835
1306,Textiles_and_furniture,2368,2941
1304,Textiles_and_furniture,2729,2735
1303,Textiles_and_furniture,2383,2844
1302,Textiles_and_furniture,2003,1851
1300,Textiles_and_furniture,2125,2850
1299,Textiles_and_furniture,2375,2226
1295,Textiles_and_furniture,1887,2402
1294,Textiles_and_furniture,2135,2387
1293,Textiles_and_furniture,2357,2171
1292,Textiles_and_furniture,2590,2656
1291,Textiles_and_furniture,2627,2536
1290,Textiles_and_furniture,2640,2604
1289,Textiles_and_furniture,2665,2611
1288,Textiles_and_furniture,2656,2662
1286,Textiles_and_furniture,2091,1954
1285,Textiles_and_furniture,2573,2510
1280,Textiles_and_furniture,1051,1975
1279,Textiles_and_furniture,2197,2126
1278,Textiles_and_furniture,1188,2172
1277,Textiles_and_furniture,2553,2598
1276,Textiles_and_furniture,2557,2549
1275,Textiles_and_furniture,2621,2627
1272,Textiles_and_furniture,1966,2633
1271,Textiles_and_furniture,1482,2635
1270,Textiles_and_furniture,1302,2685
1269,Textiles_and_furniture,2701,2505
1266,Textiles_and_furniture,1794,2139
1256,Textiles_and_furniture,2683,2562
1255,Textiles_and_furniture,2538,2630
1254,Textiles_and_furniture,2690,2594
1253,Textiles_and_furniture,2683,2633
1250,Textiles_and_furniture,2787,2604
1246,Textiles_and_furniture,2812,2655
1244,Textiles_and_furniture,1811,2089
1243,Textiles_and_furniture,1836,2021
1239,Textiles_and_furniture,2214,2281
1237,Textiles_and_furniture,2081,1827
1233,Textiles_and_furniture,2122,1748
1232,Textiles_and_furniture,1379,2509
1460,Stone_and_glass,1113,2235
1458,Stone_and_glass,1828,2648
1456,Stone_and_glass,2823,2556
1455,Stone_and_glass,2244,2782
1453,Stone_and_glass,1058,2028
1451,Stone_and_glass,2277,2728
1449,Stone_and_glass,2054,1796
1446,Stone_and_glass,2853,2574
1445,Stone_and_glass,2906,2564
1444,Stone_and_glass,2816,2842
1443,Stone_and_glass,1328,2626
1442,Stone_and_glass,1864,2467
1441,Stone_and_glass,1126,2399
1436,Stone_and_glass,2101,2131
1433,Stone_and_glass,2340,2446
1432,Stone_and_glass,1707,2521
1431,Stone_and_glass,1896,2445
1430,Stone_and_glass,1844,2237
1429,Stone_and_glass,1196,2619
1428,Stone_and_glass,2177,2172
1427,Stone_and_glass,1362,2380
1425,Stone_and_glass,1212,2116
1423,Stone_and_glass,2438,2886
1422,Stone_and_glass,2053,1979
1421,Stone_and_glass,2102,2089
1420,Stone_and_glass,2094,2049
1419,Stone_and_glass,2479,2413
1418,Stone_and_glass,1108,2065
1417,Stone_and_glass,2410,2842
1416,Stone_and_glass,1508,2709
1412,Stone_and_glass,1403,2654
1411,Stone_and_glass,1734,2521
1409,Stone_and_glass,1583,2433
1407,Stone_and_glass,1914,2649
1404,Stone_and_glass,2358,2471
1403,Stone_and_glass,2188,2442
1401,Stone_and_glass,1896,2643
1400,Stone_and_glass,1994,2447
1399,Stone_and_glass,1850,2204
1398,Stone_and_glass,1672,2251
1396,Stone_and_glass,2439,2848
1395,Stone_and_glass,2411,2868
917,Minerals,2279,2549
916,Minerals,1895,2687
915,Minerals,1888,2733
914,Minerals,2185,1925
913,Minerals,1597,1967
