distance,export_rca,export_value,import_value,location_id,id,year
0.67,25.4051,1225348096,73318880,239,671,2005
0.6938,25.2116,1374752896,2002947,239,726,2006
0.7225,25.1492,860124096,251850480,239,1795,2014
0.672,25.1121,2866466,152423,239,812,2003
0.6255,25.0608,8515149,65442,239,1262,2004
0.7227,25.044,729881664,199728144,239,1795,2012
0.679,25.0354,30649244,4277455,239,1229,2008
0.7026,25.012,421539,7760,239,770,2001
0.6791,24.8196,5345359,0,239,731,1997
0.7628,24.6411,100650816,1388895,239,1423,2006
0.629,24.6377,75304824,77365,239,1331,2004
0.6971,24.554,2340315392,10021114,239,726,2008
0.6522,24.5312,158364608,688130,239,1184,2007
0.7103,24.5192,28674020,78304,239,712,1995
0.6751,24.4273,2236662,124040,239,812,2002
0.7224,24.3986,17438932,416925,239,1162,2013
0.6946,24.2231,7964841,4429353,239,1391,2007
0.6255,24.184,43408632,119545,239,711,2001
0.7448,24.1797,116026904,1127082,239,1349,1995
0.7321,24.1666,10476987,97122,239,1360,2000
0.6912,24.0834,798190656,1243807,239,1376,2002
0.5481,23.9816,15569576,25549,239,755,2012
0.6482,23.8975,88525432,424288,239,1184,2003
0.5812,23.8868,20704404,139159,239,1589,2009
0.6941,23.8616,1306456960,6882828,239,1378,2009
0.6245,23.7807,110480752,113225,239,1332,2004
0.653,23.7139,118833216,546028,239,1184,2005
0.6869,23.692,612587456,821416,239,726,2000
0.7567,23.6356,9973662,521596,239,1162,2010
0.6872,23.634,432024000,5314387,239,671,1998
0.7015,23.6195,298435680,478885,239,671,1995
0.7983,23.5593,21858004,7617889,239,687,1997
0.6343,23.551,66844296,974436,239,711,2005
0.6941,23.5301,1685158400,19826104,239,669,2008
0.6801,23.4429,11443729,126118,239,1360,2003
0.7499,23.3916,294683616,1054602,239,1376,1996
0.7288,23.3226,6352071,247919,239,769,1998
0.7457,23.2888,105042792,1472596,239,1423,2007
0.7167,23.2715,702936640,187048576,239,1795,2013
0.7143,23.2006,1513456,397356,239,1382,1999
0.7482,23.1738,142025920,1024212,239,1349,1996
0.6868,23.1675,1665968640,6738957,239,1378,2010
0.6028,23.0309,214177376,34569244,239,711,2010
0.6322,22.9868,67940672,937890,239,711,2004
0.652,22.9579,92451496,148866,239,1331,2005
0.8046,22.7683,1846802,353700,239,1162,2000
0.6417,22.7489,70520320,536347,239,1184,2002
0.6503,22.7004,34472708,6177111,239,1229,2010
0.7087,22.5872,317326432,1400097,239,1348,2000
0.6533,22.545,59799028,652658,239,1184,2001
0.6795,22.4889,11391976,399808,239,1183,1997
0.679,22.4084,432397,11426,239,770,2002
0.698,22.3741,850283392,1126172,239,1376,2003
0.6573,22.3418,126325696,688500,239,1184,2006
0.7071,22.1371,11405344,135259,239,1360,2001
0.6761,22.1263,1219129856,54279244,239,671,2006
0.6655,22.0107,60555292,12527912,239,712,1999
0.7197,21.9861,175028576,359158,239,1349,1997
0.6803,21.8762,382257216,1902193,239,671,1997
0.6865,21.7909,2357921792,1916349824,239,712,2016
0.6741,21.7413,312645280,4404680,239,672,2002
0.7094,21.7361,312341920,513872,239,671,1996
0.7155,21.7349,14035322,3211631,239,1363,1996
0.6584,21.7266,654482496,3582748,239,726,2004
0.6452,21.6246,426922368,6173691,239,726,2001
0.7203,21.6219,579040576,767564,239,1376,2000
0.7915,21.5711,49406832,214633,239,1423,2000
0.7544,21.4567,18748776,214692,239,1162,2014
0.6805,21.3679,522541056,1145949,239,726,1997
0.6493,21.3082,521618784,2919541,239,1457,2010
0.6922,21.2814,944297920,1083661,239,1376,2004
0.6725,21.2663,52192672,81832216,239,891,2011
0.6744,21.2112,26185418,24405,239,711,1997
0.6647,21.2018,507358464,3650979,239,726,2003
0.6493,21.1934,42535552,8160729,239,1229,2011
0.6264,21.1269,22656834,882507,239,731,2009
0.7428,21.1137,9824326,865,239,1331,1996
0.7257,21.0198,164012912,608941,239,1349,1998
0.6921,20.9648,146098464,867132,239,1379,2003
0.7499,20.9582,115985544,2359782,239,1423,2008
0.6679,20.9382,25740812,7623236,239,1229,2009
0.739,20.9378,77496224,86599,239,1422,1999
0.6924,20.79,689426112,14425192,239,671,2000
0.7879,20.7475,141582144,11330213,239,751,2006
0.6764,20.7071,1220009472,52537996,239,671,2007
0.7281,20.6974,6576267,976047,239,1183,1995
0.6774,20.6679,20694080,36945,239,1589,2006
0.6917,20.5837,1244460544,358385408,239,729,2015
0.6825,20.497,899954816,1596102,239,726,2005
0.7968,20.4937,357681728,916595,239,1458,2009
0.6786,20.4429,443197280,9183265,239,671,1999
0.6666,20.431,3369851904,49141832,239,741,2012
0.6702,20.3679,291594720,394951,239,1348,2001
0.6924,20.3622,77478168,15203886,239,1251,2009
0.7049,20.3591,1162230400,30642330,239,669,2007
0.7219,20.3223,7927452,193669,239,769,2000
0.654,20.3065,16814622,1720342,239,1363,1998
